LINESTOPID,STOPSEQUENCE,ORIENTATION,LINEID,STOPID,PLANVERSIONID,LINEVARIANT,REGISTERDATE,LINEVARIANTTYPE,PLANVERSIONID,ACTIVATIONDATE,CREATIONDATE
1459482,1,1,4272,502400,241,2,55:47.0,1,241,00:00.0,55:16.0
1459483,2,1,4272,512001,241,2,55:47.0,1,241,00:00.0,55:16.0
1459484,3,1,4272,513003,241,2,55:47.0,1,241,00:00.0,55:16.0
1452201,1,0,131,502101,241,9,55:31.0,1,241,00:00.0,55:16.0
1452142,4,1,131,500300,241,2,55:31.0,1,241,00:00.0,55:16.0
1452143,5,1,131,500350,241,2,55:31.0,1,241,00:00.0,55:16.0
1459485,4,1,4272,519135,241,2,55:47.0,1,241,00:00.0,55:16.0
1459486,5,1,4272,519136,241,2,55:47.0,1,241,00:00.0,55:16.0
1452197,1,0,131,504016,241,4,55:31.0,3,241,00:00.0,55:16.0
1452198,2,0,131,604016,241,4,55:31.0,3,241,00:00.0,55:16.0
1452202,2,0,131,502051,241,9,55:31.0,1,241,00:00.0,55:16.0
1452200,4,0,131,504009,241,4,55:31.0,3,241,00:00.0,55:16.0
1452199,3,0,131,604009,241,4,55:31.0,3,241,00:00.0,55:16.0
1459496,1,0,4272,501855,241,4,55:47.0,1,241,00:00.0,55:16.0
